,lemma,count,translation
318,δικαζόμεναι,2,
319,δικαζόμενοί,2,
320,δικάζοιντό,2,
321,δίκησι,2,
322,δίκηλα,2,
323,δικαιοσννην,2,
324,δικατοσύνης,2,
325,ἐκδικάζουσα,2,
326,δικαστή,2,
327,ἀδικίανʼ,2,
328,καταδικάζητε,2,
329,καταδικαζόμεθα,2,
330,καταδικάζονται,2,
331,ἐκδικούμενον,2,
332,ἐκδικοῦσιν,2,
333,καταδικάσω,2,
334,δικαιωθήσεσθαι,2,
335,δικαιουμένη,2,
336,δικαιοπραγῶμεν,2,
337,ἐκδικητής,2,
338,δικαιώμ,2,
339,δίκαιιοι,2,
340,δικασπολίην,2,
341,καταδικασθεῖσι,2,
342,ἀδικημένων,2,
343,δικαιοσύνηι,2,
344,δικολόγους,2,
345,δικολόγων,2,
346,ἐκδικούντων,2,
347,δικαιωτηρίοις,2,
348,δικαιοπραγοῦσιν,2,
349,δικαστικὰς,2,
350,δικαιουμένης,2,
351,δικαιωθησομένων,2,
352,δικία,2,
353,δικαιωθέντων,2,
354,δικαιοπραγοῦς,2,
355,δικανικάς,2,
356,δικαιολογεῖν,2,
357,ἀδικουμέ,2,
358,δικηγόρου,2,
359,δικαιαρχία,2,
360,δικέραιον,2,
361,δικολόγος,2,"a pleader, advocate"
362,δικάζευ,1,
363,δικογράφων,1,
364,δικαστικούς,1,
365,δικαιοπραγμοσύνης,1,
366,δικαίωσ,1,
367,ἀδικοῦσά,1,
368,ἐκδικαστής,1,an avenger
369,ἐκδικάζοντες,1,
370,δικαιοσύνᾳ,1,
371,ἀδικούσας,1,
372,δικαζομένης,1,
373,ἀδικίανἀδικίαν,1,
374,δικάζωνʼ,1,
375,ἐκδικοῦντι,1,
376,δικόμης,1,
377,ἀδικοπραγοῦντες,1,
378,δικαιοσύνηνδικαιοσύνην,1,
379,ἀδικητικοὺς,1,
380,δικαιωτήν,1,
381,ἀδικητικὸν,1,
382,δικαιώσεων,1,
383,δικαιαρχείαν,1,
384,χρόνονἄδικα,1,
385,δικαιοπραγῆσαι,1,
386,δικολόγοις,1,
387,δικότυλοι,1,
388,δικαιοσύνηνκαὶ,1,
389,ἀδικησομένοις,1,
390,ἀδικησόμενον,1,
391,δικαιεῦντος,1,
392,δικασάμενοι,1,
393,δικαιογένουςὦ,1,
394,δικαιογένηνδικαιογένην,1,
395,δικαιογενην,1,
396,ὑπόδικοςὑπόδικος,1,
397,δικασαμένη,1,
398,δικαιονομεῖν,1,
399,ὥσπερἀδικημάτων,1,
400,δειλίαιἀδικίαι,1,
401,ἀδικοῦντές,1,
402,δικασθείσης,1,
403,ἀδικοπράγει,1,
404,ἀδικοπραγοῦσι,1,
405,ἀδίκημ,1,
406,δικαστῄριον,1,
407,ἀδικοπραγῶσι,1,
408,συγκρίσειἄδικος,1,
409,δικαιάδικοι,1,
410,δικαιονομίας,1,
411,ἀδικοῦντςεἰς,1,
412,δικασιὴς,1,
413,ἀδικο,1,
414,ἀδικηθεῖσαι,1,
415,δικατάρχιαν,1,
416,δικαιολογηθεὶς,1,
417,κἀδικουμένους,1,
418,δικάζουσʼ,1,
419,ἀδίκοιςθεσμοῖς,1,
420,δικασθεῖσινδικασθεῖσιν,1,
421,ἀδικουμένουςἀδικουμένους,1,
422,δικαιότεροικαὶ,1,
423,δικαίωςἀγ,1,
424,δίκαιόςδίκαιος,1,
425,ἀδικημάτωντῶν,1,
426,δικαίαςδικαίας,1,
427,δικαίωςοὐ,1,
428,δικαςτηρίου,1,
429,δικαιοκράτους,1,
430,δικαίαςὡς,1,
431,δίκαιαιμὴ,1,
432,λἀδικημάτων,1,
433,δικαστἂν,1,
434,ἀδικοῦνταςδημοτικώτατα,1,
435,ἀδικοῦνταςτοὺς,1,
436,ἀδικίαςἀδικίας,1,
437,δικαζομένας,1,
438,ἀδικησάντωνἀδικησάντων,1,
439,δίκολπον,1,
440,ἀδικοῖμι,1,
441,δικασταίὑμᾶς,1,
442,δικαιοσύνητούτων,1,
443,δίκηνδυοῖν,1,
444,δικάζειὁ,1,
445,δικασθέντων,1,
446,γιγνόμενονἀδικίαν,1,
447,δίκητιμωρία,1,
448,δικασαμένῳ,1,
449,δικασθεῖσιν,1,
450,καταδικασαμένου,1,
451,δίκηνοὐ,1,
452,ἐκδικασθεισῶν,1,
453,ἐκδικασθεῖσαι,1,
454,δικασίμων,1,
455,δικαιολογησαίμην,1,
